Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
0.jpg	69.66	23.86	46.96	22.76	39.93	69.07
1.jpg	66.72	55.84	57.83	61.18	61.87	66.98
10.jpg	56.71	24.52	25.42	20.03	40.39	56.63
100.jpg	64.33	56.25	55.17	51.29	59.40	64.53
1000.jpg	44.09	8.95	23.61	13.53	20.00	43.42
1001.jpg	85.18	84.67	87.78	86.59	87.12	85.31
1002.jpg	75.06	60.35	68.13	58.86	70.79	74.03
1003.jpg	83.16	46.51	63.43	42.01	64.95	78.05
1004.jpg	81.09	75.51	78.55	76.45	80.22	81.73
1005.jpg	70.56	55.44	48.51	42.27	53.92	71.06
1006.jpg	90.85	68.09	72.32	73.48	80.73	91.20
1007.jpg	38.11	26.97	26.81	17.23	32.29	37.17
1008.jpg	35.27	32.96	36.30	30.08	36.32	35.63
1009.jpg	69.80	37.86	67.26	32.70	60.40	68.53
101.jpg	81.60	69.31	80.28	72.02	79.61	81.19
1010.jpg	92.32	44.30	45.09	42.73	64.88	89.08
1011.jpg	50.97	35.42	51.47	29.55	46.99	51.62
1012.jpg	77.87	50.67	66.93	39.47	72.06	78.37
1013.jpg	69.93	54.39	63.53	52.28	65.50	69.72
1014.jpg	89.02	37.21	49.89	48.94	52.91	87.98
1015.jpg	95.47	76.13	74.04	71.15	77.57	95.70
1016.jpg	74.63	71.35	73.58	35.12	74.60	74.60
1017.jpg	56.06	50.25	50.53	32.99	58.54	58.32
1018.jpg	71.64	64.29	65.59	51.45	68.64	71.91
1019.jpg	38.44	21.05	26.05	24.09	28.95	38.91
102.jpg	62.63	53.05	51.37	45.55	53.71	62.47
1020.jpg	33.43	18.49	17.30	11.20	20.45	34.63
1021.jpg	95.67	90.23	86.02	63.26	94.18	95.80
1022.jpg	44.71	47.74	43.12	16.31	48.37	44.99
1023.jpg	37.73	29.99	32.01	24.40	34.94	38.30
1024.jpg	88.63	32.83	72.86	31.97	74.80	82.50
1025.jpg	86.96	52.21	65.45	34.73	67.92	84.03
1026.jpg	72.02	72.36	72.24	71.63	72.48	72.43
1027.jpg	54.39	46.08	44.88	48.36	45.92	52.10
1028.jpg	82.39	58.22	51.88	18.11	69.71	82.97
1029.jpg	60.97	63.65	61.16	61.75	63.88	61.95
103.jpg	44.52	32.64	29.52	29.74	33.30	40.24
1030.jpg	55.60	47.36	61.06	46.58	57.24	56.08
1031.jpg	86.58	54.11	44.44	41.92	63.42	87.08
1032.jpg	68.94	58.30	58.88	44.73	65.58	69.17
1033.jpg	43.68	17.71	26.14	24.33	24.91	34.14
1034.jpg	35.10	35.27	33.04	26.40	36.34	35.81
1035.jpg	77.51	55.14	67.27	55.55	68.42	77.72
1036.jpg	75.84	72.83	66.90	56.86	77.85	78.06
1037.jpg	78.22	40.94	57.17	39.61	58.48	71.20
1038.jpg	69.64	43.08	57.20	38.09	55.96	68.93
1039.jpg	89.66	75.43	88.43	72.06	88.86	90.08
104.jpg	80.96	77.81	78.01	78.76	80.27	81.08
1040.jpg	78.57	51.77	66.20	44.22	71.56	78.54
1041.jpg	70.95	64.61	65.22	60.49	70.27	72.21
1042.jpg	72.84	44.32	43.03	32.01	49.55	72.11
1043.jpg	33.60	31.86	28.89	22.40	35.43	35.57
1044.jpg	86.40	40.02	64.45	31.54	50.44	84.48
1045.jpg	77.68	75.28	72.67	72.65	77.35	78.98
1046.jpg	79.78	58.08	50.97	30.12	74.98	79.80
1047.jpg	73.58	50.99	56.36	47.50	59.48	73.21
1048.jpg	36.07	36.54	36.02	36.24	36.29	36.41
1049.jpg	83.82	85.10	78.95	76.83	84.14	84.21
105.jpg	85.59	77.54	89.15	60.89	85.48	85.69
1050.jpg	77.63	62.90	66.08	62.98	68.48	77.53
1051.jpg	63.80	51.80	58.05	62.51	63.29	64.15
1052.jpg	62.46	58.02	46.68	33.78	59.20	63.28
1053.jpg	78.53	71.07	75.83	70.24	73.77	79.05
1054.jpg	50.54	51.29	42.37	49.55	50.53	50.62
1055.jpg	70.93	43.33	43.85	29.46	49.56	70.40
1056.jpg	88.00	85.17	86.20	90.86	88.23	88.07
1057.jpg	68.45	65.11	60.38	52.99	68.07	68.82
1058.jpg	81.52	36.74	31.50	31.06	55.21	80.90
1059.jpg	60.28	43.40	41.25	34.46	47.77	61.76
106.jpg	82.85	80.97	80.84	70.47	82.84	83.17
1060.jpg	29.61	49.07	41.69	50.45	48.11	39.56
1061.jpg	53.51	51.45	44.10	38.88	53.22	54.24
1062.jpg	57.87	48.95	56.93	56.09	62.64	63.34
1063.jpg	65.46	52.35	58.33	54.54	58.80	63.24
1064.jpg	96.33	88.37	79.77	78.96	93.10	97.12
1065.jpg	69.28	53.36	55.68	46.00	57.78	64.67
1066.jpg	78.81	61.65	64.23	53.33	68.68	79.24
1067.jpg	78.90	64.12	64.03	60.96	65.45	79.18
1068.jpg	84.41	64.14	71.35	58.05	74.86	84.11
1069.jpg	38.48	26.26	25.69	20.07	25.85	37.58
107.jpg	63.74	50.96	55.21	42.35	54.86	59.35
1070.jpg	38.39	30.64	31.65	31.70	34.81	39.80
1071.jpg	30.49	24.69	28.72	19.11	31.68	33.58
1072.jpg	26.43	28.02	24.50	23.51	28.95	26.83
1073.jpg	55.41	32.13	53.10	51.10	52.46	55.76
1074.jpg	83.01	80.90	85.73	72.04	83.53	83.39
1075.jpg	44.31	39.52	42.99	29.88	45.67	45.98
1076.jpg	47.04	12.66	28.12	16.89	25.78	46.57
1077.jpg	81.79	70.26	70.17	70.06	71.97	81.79
1078.jpg	63.37	45.42	48.67	44.50	51.97	64.36
1079.jpg	73.96	57.33	59.37	47.00	60.09	72.07
108.jpg	84.99	80.17	78.08	73.22	81.25	84.63
1080.jpg	38.17	41.30	39.94	37.68	42.83	40.72
1081.jpg	58.81	38.70	42.56	19.53	46.62	58.97
1082.jpg	67.61	68.58	67.97	66.39	68.72	68.15
1083.jpg	60.57	58.85	51.73	47.61	58.89	60.09
1084.jpg	80.57	63.85	64.74	65.00	75.86	78.23
1085.jpg	79.99	77.33	83.06	59.38	81.04	80.09
1086.jpg	65.56	23.56	30.77	27.20	34.40	64.98
1087.jpg	38.93	26.54	32.58	32.18	35.89	39.23
1088.jpg	57.89	49.91	51.87	48.16	51.64	58.58
1089.jpg	43.47	35.12	41.01	43.01	42.53	43.82
109.jpg	75.25	68.86	72.74	68.54	71.95	75.56
1090.jpg	87.38	60.85	62.29	58.76	69.06	86.25
1091.jpg	84.65	39.44	55.43	29.49	60.65	85.04
1092.jpg	66.86	59.26	62.22	58.38	62.34	67.59
1093.jpg	75.97	62.61	71.95	57.66	66.32	75.34
1094.jpg	56.43	43.47	44.57	23.73	52.20	56.69
1095.jpg	71.24	63.61	69.20	55.82	72.00	71.67
1096.jpg	80.07	64.02	73.64	61.45	75.18	79.70
1097.jpg	64.08	62.68	63.06	62.53	63.82	64.21
1098.jpg	73.22	67.93	72.85	71.79	74.45	73.59
1099.jpg	93.36	64.03	85.00	59.68	88.61	93.35
11.jpg	56.76	36.46	66.77	35.59	48.48	57.03
110.jpg	91.83	64.74	64.05	60.63	74.59	82.28
1100.jpg	67.79	57.93	51.70	45.27	68.40	68.79
1101.jpg	89.16	69.86	68.45	63.18	75.50	89.57
1102.jpg	83.46	58.47	53.05	53.70	60.53	81.69
1103.jpg	94.27	63.51	81.56	61.47	81.00	95.75
1104.jpg	18.50	22.20	20.31	20.60	22.11	21.24
1105.jpg	62.83	45.15	48.20	44.09	51.53	63.77
1106.jpg	89.02	22.08	52.78	12.35	55.17	91.12
1107.jpg	53.54	47.83	50.20	50.01	51.70	53.86
1108.jpg	58.77	42.05	50.59	36.90	53.50	58.39
1109.jpg	59.87	47.39	52.62	44.16	53.09	60.06
111.jpg	64.95	64.80	65.52	61.48	65.09	65.63
1110.jpg	43.47	45.45	45.57	39.32	48.15	46.76
1111.jpg	42.64	34.41	31.15	29.75	36.27	45.05
1112.jpg	74.59	60.00	70.92	62.80	71.09	74.38
1113.jpg	81.35	64.32	64.79	65.14	65.56	71.71
1114.jpg	58.80	34.36	45.80	39.05	50.21	57.51
1115.jpg	64.01	38.75	42.05	30.88	45.88	64.03
1116.jpg	90.32	43.36	50.16	40.74	57.73	90.41
1117.jpg	54.67	46.84	53.70	53.72	57.56	55.49
1118.jpg	85.05	77.02	81.30	59.22	82.54	85.51
1119.jpg	66.76	55.34	61.57	47.36	60.96	66.51
112.jpg	58.55	39.06	63.02	43.69	49.68	58.34
1120.jpg	90.77	50.51	82.46	48.04	86.56	90.91
1121.jpg	74.68	65.32	77.74	66.71	72.27	75.21
1122.jpg	65.58	56.27	62.28	52.96	63.19	66.09
1123.jpg	59.26	70.15	43.33	25.01	64.13	63.25
1124.jpg	85.66	71.56	68.22	66.90	78.77	86.72
1125.jpg	86.57	75.52	76.70	58.18	81.01	86.53
1126.jpg	80.27	78.08	75.57	48.03	86.44	86.97
1127.jpg	50.87	43.13	45.35	41.28	46.52	51.31
1128.jpg	66.19	39.87	45.04	24.16	50.68	66.84
1129.jpg	57.39	54.91	54.66	53.27	56.36	57.82
113.jpg	46.29	28.43	46.85	26.59	48.15	47.84
1130.jpg	29.38	31.28	36.10	22.09	32.58	29.68
1131.jpg	83.67	56.15	59.99	53.38	63.36	83.07
1132.jpg	90.18	59.92	60.70	60.25	60.63	92.20
1133.jpg	65.93	35.77	61.68	36.83	64.65	67.49
1134.jpg	86.97	73.41	75.70	61.85	81.08	87.23
1135.jpg	71.89	30.74	64.57	26.48	65.86	72.46
1136.jpg	62.17	45.30	50.67	44.45	51.24	62.43
1137.jpg	57.07	48.66	42.26	36.90	52.47	56.77
1138.jpg	58.74	55.32	57.55	50.76	54.76	56.59
1139.jpg	80.85	68.27	71.42	71.70	73.52	79.73
114.jpg	52.61	46.15	44.18	35.22	52.73	53.36
