Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
1003.jpg	93.69	47.35	69.85	44.73	70.06	87.94
1002.jpg	83.54	66.24	74.73	61.39	78.98	83.77
100.jpg	70.69	60.14	58.27	54.27	61.51	70.77
1001.jpg	88.75	85.55	88.96	87.38	88.99	88.77
0.jpg	79.42	29.11	53.78	23.49	50.13	78.37
10.jpg	63.52	40.44	25.40	20.99	53.31	63.36
1000.jpg	50.15	28.93	27.17	14.27	26.36	49.65
1.jpg	75.95	69.09	60.42	62.95	67.53	76.27
1004.jpg	96.42	70.39	82.81	79.40	82.95	96.15
1005.jpg	87.23	51.41	52.29	44.44	56.09	86.22
1007.jpg	87.45	19.23	32.01	18.91	35.01	83.65
1006.jpg	98.38	75.52	76.66	76.11	89.73	97.94
1008.jpg	36.77	22.47	36.74	32.15	36.62	36.94
1009.jpg	80.23	62.11	75.17	33.02	71.66	78.56
1010.jpg	96.85	50.00	49.68	44.67	72.09	92.08
101.jpg	87.79	86.03	83.16	73.72	85.19	90.26
1011.jpg	66.88	43.61	59.00	33.87	53.87	65.09
1012.jpg	83.85	75.22	70.99	40.73	80.49	84.37
1013.jpg	68.79	66.75	69.47	53.52	69.56	67.38
1014.jpg	92.48	53.86	53.29	50.93	59.44	91.93
1015.jpg	98.62	86.49	74.76	72.14	87.21	98.32
1016.jpg	81.14	72.52	78.53	38.49	77.61	80.56
1018.jpg	86.69	62.73	73.68	55.79	77.20	86.67
1017.jpg	76.64	55.15	54.52	35.70	64.10	78.48
1019.jpg	56.93	26.97	31.35	26.17	35.76	56.26
1020.jpg	38.53	15.43	22.21	12.87	23.32	38.15
102.jpg	64.60	55.34	52.46	46.90	55.76	63.62
1023.jpg	82.60	37.50	36.21	26.42	40.69	77.95
1021.jpg	96.04	90.79	89.43	66.25	95.89	97.69
1022.jpg	67.41	21.61	51.86	18.77	47.70	64.86
1024.jpg	82.14	43.05	75.74	32.74	74.29	82.03
1025.jpg	93.39	67.13	74.09	36.62	81.66	90.75
1028.jpg	81.77	53.66	62.85	20.16	80.07	81.55
1026.jpg	77.56	72.44	72.48	72.16	72.50	76.52
1027.jpg	62.89	47.25	45.20	48.89	50.06	63.06
1029.jpg	78.07	72.49	63.94	63.52	70.36	76.49
1030.jpg	60.48	59.31	68.12	49.25	63.95	60.84
103.jpg	64.15	40.54	31.04	30.94	39.25	56.42
1031.jpg	93.82	74.35	51.76	43.13	81.35	93.23
1032.jpg	71.07	58.15	62.87	46.91	64.72	71.22
1033.jpg	62.75	40.08	29.36	26.95	36.21	60.19
1035.jpg	78.75	72.78	70.75	58.26	70.52	77.04
1034.jpg	43.78	36.65	34.23	28.16	37.58	43.79
1039.jpg	93.15	75.54	90.90	74.86	90.45	93.57
1036.jpg	87.66	70.87	73.00	61.21	77.94	84.12
1037.jpg	90.77	61.93	58.46	42.44	66.33	85.59
1038.jpg	78.25	55.15	63.81	40.27	64.34	76.66
104.jpg	84.56	82.85	79.37	80.24	83.86	84.49
1040.jpg	84.57	51.77	69.67	45.39	72.52	84.24
1042.jpg	79.62	44.38	49.49	34.09	54.51	76.17
1043.jpg	81.94	20.68	33.59	23.36	61.43	81.46
1041.jpg	73.78	70.83	67.73	61.09	72.21	74.11
1044.jpg	94.39	84.12	71.79	34.25	84.57	93.86
1046.jpg	62.82	56.98	54.61	33.97	67.87	62.87
1045.jpg	79.66	70.75	75.48	75.07	78.74	79.77
1047.jpg	85.80	53.21	62.17	50.03	65.20	85.07
1048.jpg	42.22	36.29	36.16	36.20	36.27	42.53
1049.jpg	94.71	81.65	80.87	80.41	88.01	94.18
105.jpg	85.60	85.16	91.87	63.80	85.76	85.79
1050.jpg	82.32	71.92	70.02	64.75	74.50	81.16
1052.jpg	70.82	60.70	53.51	39.07	67.47	70.66
1051.jpg	65.65	64.86	61.27	64.49	67.10	65.92
1053.jpg	81.15	71.49	78.70	72.75	73.78	81.25
1054.jpg	52.96	57.30	42.83	50.56	51.93	53.01
1055.jpg	68.34	48.53	46.59	30.54	50.15	66.96
1056.jpg	89.41	87.96	86.98	92.73	90.10	90.00
1059.jpg	85.80	73.90	53.35	40.62	71.76	85.64
1057.jpg	74.40	61.58	61.88	54.81	68.70	75.02
1058.jpg	74.80	49.01	38.81	36.42	64.38	73.68
1061.jpg	73.79	40.37	52.98	41.33	56.69	72.39
106.jpg	84.30	79.84	82.17	72.53	82.74	84.47
1060.jpg	43.99	50.04	44.93	52.88	50.07	46.38
1062.jpg	78.72	57.63	61.15	60.05	65.35	80.42
1063.jpg	67.35	56.47	58.82	55.63	58.83	63.29
1065.jpg	80.15	59.60	67.93	52.11	69.58	75.78
1064.jpg	96.80	91.23	81.33	81.09	98.10	96.80
1066.jpg	92.29	76.02	68.96	55.65	82.40	92.41
1069.jpg	83.91	59.66	31.26	22.00	62.40	81.60
1067.jpg	86.09	66.22	65.23	61.78	67.42	86.05
1068.jpg	80.88	71.49	76.14	62.55	77.20	80.10
107.jpg	66.71	47.34	57.25	44.44	55.35	62.81
1070.jpg	58.02	31.84	36.44	35.32	40.19	56.44
1071.jpg	76.80	24.88	33.03	21.56	42.96	77.01
1072.jpg	28.21	26.50	26.04	25.07	29.01	28.45
1073.jpg	69.76	57.21	56.49	54.33	59.96	68.55
1075.jpg	49.12	31.35	52.14	35.07	46.60	49.71
1074.jpg	93.31	92.81	90.46	73.49	94.78	93.46
1076.jpg	60.28	16.19	29.80	17.66	36.46	59.48
1078.jpg	83.83	50.95	55.99	49.06	58.01	83.48
1077.jpg	81.32	70.90	71.77	70.37	72.48	80.91
1079.jpg	85.86	71.43	64.55	47.31	70.28	81.62
108.jpg	96.40	80.49	79.49	75.96	85.39	94.19
1080.jpg	90.30	43.12	41.60	38.74	46.89	88.34
1082.jpg	68.68	67.11	68.65	68.06	68.76	68.75
1081.jpg	68.44	52.07	47.42	20.42	54.88	68.25
1083.jpg	64.37	61.30	54.07	49.30	60.70	61.92
1084.jpg	87.48	78.85	72.90	69.20	80.21	86.90
1087.jpg	75.05	34.01	41.04	37.23	45.75	71.91
1086.jpg	65.70	28.43	34.62	29.68	36.30	65.05
1085.jpg	81.44	78.91	85.75	62.15	82.55	81.77
1088.jpg	91.60	54.68	57.82	49.00	57.59	91.66
1089.jpg	46.13	39.35	43.36	45.62	43.92	46.01
109.jpg	83.06	72.11	75.35	70.67	76.57	82.95
1090.jpg	98.08	94.66	65.04	59.51	85.86	96.67
1091.jpg	91.46	31.88	58.80	30.09	63.36	88.66
1092.jpg	70.96	59.79	64.00	58.87	64.78	71.02
1094.jpg	71.10	53.67	53.80	30.84	63.59	70.72
1093.jpg	86.81	61.38	75.31	58.25	75.26	86.62
1095.jpg	74.47	62.27	70.48	57.68	73.07	75.04
1096.jpg	82.89	72.87	76.37	64.50	78.01	81.87
1097.jpg	71.58	66.60	63.23	62.36	67.92	71.09
1098.jpg	74.80	64.55	76.03	73.84	76.01	74.76
1099.jpg	98.42	59.33	92.29	62.03	91.70	97.50
110.jpg	97.90	74.94	69.36	63.06	80.53	86.40
11.jpg	67.85	36.66	72.35	35.74	47.73	67.45
1102.jpg	86.49	70.69	53.45	53.64	71.76	84.94
1101.jpg	92.14	85.51	70.59	64.08	86.05	92.31
1103.jpg	97.80	62.85	86.32	62.70	85.51	97.13
1100.jpg	83.75	60.55	54.65	48.62	69.93	80.19
1104.jpg	43.18	67.74	20.84	21.14	41.70	44.39
1105.jpg	82.26	50.59	55.41	48.45	57.50	82.32
1107.jpg	54.26	52.66	50.70	53.44	52.47	54.44
1106.jpg	92.62	56.39	62.27	13.71	76.44	92.87
1109.jpg	75.81	53.69	57.16	46.67	57.47	76.07
111.jpg	76.03	77.82	66.58	62.53	76.18	76.14
1108.jpg	69.57	59.10	55.01	40.79	65.88	69.44
1110.jpg	45.59	44.42	49.09	42.58	47.72	48.06
1111.jpg	63.49	27.93	35.47	34.30	36.73	63.77
1112.jpg	80.56	66.24	77.81	67.65	75.60	79.47
1113.jpg	84.60	64.45	66.40	67.05	66.78	71.86
1114.jpg	68.14	29.19	55.70	45.19	56.14	67.94
1117.jpg	63.91	53.58	59.85	60.15	61.60	64.05
1115.jpg	93.00	42.37	43.97	32.36	52.71	91.87
1118.jpg	90.58	86.45	85.25	61.96	87.66	90.61
1116.jpg	89.85	81.14	52.39	42.13	86.02	90.05
1119.jpg	72.47	42.34	68.47	50.17	55.16	69.66
112.jpg	74.62	41.27	70.76	47.14	63.73	72.94
1120.jpg	95.56	55.67	88.10	50.19	90.19	94.71
1121.jpg	81.42	70.08	83.13	71.04	77.08	80.44
1123.jpg	78.67	46.18	53.27	29.88	57.32	78.74
1122.jpg	72.32	57.73	63.67	54.05	63.61	71.66
1124.jpg	87.72	76.35	71.84	68.17	81.50	89.32
1126.jpg	85.77	70.43	81.84	55.19	88.39	88.63
1125.jpg	91.82	74.32	78.61	60.57	83.83	91.75
1127.jpg	75.01	58.12	47.98	42.45	61.26	74.75
1128.jpg	48.28	34.00	50.54	28.90	50.15	48.56
113.jpg	70.11	14.16	65.76	33.00	56.27	70.30
1129.jpg	60.54	53.53	55.34	55.19	56.65	60.59
1131.jpg	89.25	63.48	66.69	54.88	69.92	87.99
1130.jpg	27.16	40.34	40.23	22.90	36.60	28.16
1133.jpg	72.30	45.95	66.46	38.58	66.75	72.62
1132.jpg	92.83	76.04	61.76	61.10	76.05	93.25
1134.jpg	91.02	81.70	80.34	63.63	86.00	91.01
1135.jpg	75.38	68.85	69.64	28.80	73.79	75.73
1136.jpg	69.88	49.70	55.53	47.54	58.04	68.40
1137.jpg	57.58	55.24	43.41	37.54	55.64	57.55
1139.jpg	89.98	81.90	75.19	75.43	83.83	90.24
1138.jpg	84.10	54.20	60.27	51.20	62.87	77.95
114.jpg	58.76	28.42	51.38	40.80	52.82	58.58
1140.jpg	65.00	55.80	49.86	48.60	53.36	61.51
1141.jpg	57.85	37.79	34.90	38.70	40.59	58.30
1142.jpg	94.16	65.75	66.38	60.55	74.30	94.13
1143.jpg	43.95	34.52	36.84	35.01	36.86	43.92
1144.jpg	46.24	34.11	35.52	28.78	36.46	46.38
1145.jpg	84.78	46.88	43.90	40.00	57.44	84.43
1146.jpg	91.06	83.82	79.11	65.51	86.07	91.02
1147.jpg	58.02	51.30	25.26	26.66	39.96	56.92
1148.jpg	93.20	73.15	63.11	55.38	76.08	95.04
1149.jpg	58.13	18.24	21.27	16.20	34.10	58.51
115.jpg	80.80	21.67	24.64	18.96	26.24	77.99
1150.jpg	59.50	57.97	41.28	40.27	54.36	59.92
1151.jpg	91.31	72.58	77.27	76.32	78.92	91.23
1152.jpg	84.78	59.92	64.20	51.42	64.42	82.32
1153.jpg	93.21	39.73	54.51	38.76	51.03	83.54
1154.jpg	48.59	69.41	44.57	38.90	64.09	48.17
1155.jpg	76.17	67.97	65.48	56.82	65.89	74.54
1156.jpg	67.05	75.29	50.86	40.67	68.65	69.62
1157.jpg	96.67	31.66	83.74	23.41	83.44	94.91
1158.jpg	76.60	64.96	70.05	65.19	70.95	76.74
1159.jpg	80.02	51.12	62.57	50.74	62.53	77.16
116.jpg	79.28	46.43	47.03	48.99	57.58	78.74
1160.jpg	73.44	63.92	71.99	70.99	71.36	73.72
1161.jpg	84.62	54.62	58.49	39.52	64.40	79.24
1162.jpg	57.15	24.93	35.55	42.19	40.44	56.77
1163.jpg	72.09	46.84	48.92	46.69	48.22	72.23
1164.jpg	71.14	15.23	11.33	4.71	16.04	62.04
1165.jpg	37.92	16.94	31.62	29.80	32.10	36.08
1166.jpg	61.43	58.84	37.65	44.07	60.38	61.17
1167.jpg	73.26	59.28	68.16	51.74	68.43	73.39
1168.jpg	52.12	33.89	46.20	42.41	46.47	52.26
1169.jpg	95.40	46.32	71.88	38.29	74.81	94.58
117.jpg	89.98	71.46	65.84	62.33	77.41	90.01
1170.jpg	81.37	77.76	78.22	73.90	79.83	81.29
1171.jpg	96.86	87.89	71.94	70.46	90.31	97.14
1173.jpg	76.43	55.89	61.85	47.22	68.14	76.59
1172.jpg	53.51	9.25	13.04	6.59	14.40	52.53
1174.jpg	97.15	64.72	51.73	47.73	69.30	97.25
1175.jpg	72.45	63.77	63.01	52.51	65.45	71.49
1176.jpg	97.64	82.29	90.83	62.79	95.40	98.18
1177.jpg	91.58	93.00	67.64	79.21	87.87	93.18
1178.jpg	86.83	81.63	83.14	78.00	85.59	86.62
1179.jpg	86.78	64.33	59.01	54.68	69.18	86.41
1180.jpg	55.88	41.93	51.59	38.71	51.58	55.48
1181.jpg	90.62	51.94	41.02	40.00	56.45	89.62
118.jpg	81.80	74.22	70.44	68.02	74.91	81.15
1182.jpg	84.34	56.08	73.10	33.83	77.10	84.18
1183.jpg	47.37	30.61	52.94	26.34	52.47	47.48
1184.jpg	93.63	65.37	53.77	41.82	81.31	94.23
1185.jpg	54.64	51.64	46.57	43.74	49.12	53.78
1186.jpg	38.03	32.36	32.92	31.20	35.22	38.23
1187.jpg	97.43	81.27	81.21	73.22	85.93	97.15
1188.jpg	71.55	59.06	71.62	33.86	67.76	71.48
1189.jpg	93.33	47.21	67.57	32.65	68.93	93.60
119.jpg	83.53	57.45	71.94	42.44	70.50	83.77
1190.jpg	74.72	48.59	62.44	42.02	60.25	70.91
1191.jpg	88.47	44.60	78.26	53.19	76.22	88.14
1192.jpg	84.30	79.61	81.84	79.44	82.97	87.66
1193.jpg	82.19	31.61	55.06	23.03	57.87	81.16
1194.jpg	59.00	19.74	24.50	16.59	36.60	58.46
1195.jpg	90.42	57.03	78.25	59.85	80.00	90.43
1196.jpg	74.52	47.26	64.57	48.70	65.69	72.80
1197.jpg	94.77	62.47	80.89	61.62	85.27	92.83
1198.jpg	56.85	33.47	35.54	25.27	51.54	57.63
1199.jpg	79.75	66.69	65.43	55.89	64.74	78.20
12.jpg	73.73	63.09	70.57	52.00	73.70	75.88
120.jpg	84.51	61.78	65.46	37.58	73.31	85.38
1200.jpg	81.27	29.24	66.04	34.19	71.65	87.34
1202.jpg	87.26	80.49	75.39	72.03	81.50	87.26
1201.jpg	88.81	54.13	69.91	57.67	76.69	88.88
1204.jpg	81.00	43.94	75.75	41.23	78.09	81.73
1203.jpg	74.06	64.05	73.26	72.17	69.83	71.78
1205.jpg	59.89	51.76	53.22	52.50	52.68	59.20
1206.jpg	76.38	64.05	61.06	57.62	72.30	76.88
1207.jpg	75.08	65.21	66.72	62.68	69.90	76.65
1208.jpg	94.89	42.90	78.02	8.44	80.40	89.24
1209.jpg	94.08	97.45	87.15	85.72	97.57	94.12
121.jpg	91.81	85.97	74.90	57.80	86.49	90.66
1211.jpg	55.21	52.08	48.29	39.89	49.31	55.28
1210.jpg	56.80	52.43	50.89	37.69	53.14	54.47
1212.jpg	85.32	65.63	69.08	64.69	69.64	84.52
1213.jpg	92.32	34.55	38.89	26.23	50.93	90.74
1214.jpg	59.05	33.50	48.38	36.30	48.00	58.53
