 ,background,candy,egg tart,french fries,chocolate,biscuit,popcorn,pudding,ice cream,cheese butter,cake,wine,milkshake,coffee,juice,milk,tea,almond,red beans,cashew,dried cranberries,soy,walnut,peanut,egg,apple,date,apricot,avocado,banana,strawberry,cherry,blueberry,raspberry,mango,olives,peach,lemon,pear,fig,pineapple,grape,kiwi,melon,orange,watermelon,steak,pork,chicken duck,sausage,fried meat,lamb,sauce,crab,fish,shellfish,shrimp,soup,bread,corn,hamburg,pizza,hanamaki baozi,wonton dumplings,pasta,noodles,rice,pie,tofu,eggplant,potato,garlic,cauliflower,tomato,kelp,seaweed,spring onion,rape,ginger,okra,lettuce,pumpkin,cucumber,white radish,carrot,asparagus,bamboo shoots,broccoli,celery stick,cilantro mint,snow peas,cabbage,bean sprouts,onion,pepper,green beans,French beans,king oyster mushroom,shiitake,enoki mushroom,oyster mushroom,white button mushroom,salad,other ingredients
background,460348928,0,0,94595,16,35566,0,0,325205,184,162227,13,62997,37410,310614,2641,0,261,0,0,0,17532,0,0,41713,34146,0,0,0,29484,385503,21212,31393,93,1659,0,26448,173082,0,315,7067,19578,0,0,111075,49,230733,7482,363881,525,66,584,104365,0,7731,247,5276,11980,449082,390157,0,335,0,0,4359,30628,140148,1276,0,0,200870,0,402,235471,0,0,6,3,0,0,79922,0,128647,0,824117,31824,0,331971,69975,165815,0,0,0,726,8932,38062,27954,0,1,0,0,33,0,0
candy,120582,86,0,244,0,13994,0,0,7705,0,8677,0,0,0,311,0,0,367,0,0,0,828,0,0,2111,2290,0,0,0,1692,4520,2971,8652,0,2,0,4269,3893,0,0,46,1419,3,0,1346,0,137,0,705,0,0,0,0,0,0,0,2,0,368,1642,0,586,0,0,748,0,1802,332,0,0,76,0,0,4493,0,0,0,0,0,0,266,0,2053,0,13729,0,0,3033,0,1145,0,0,0,0,10,2067,0,0,0,0,0,0,0,0
egg tart,45897,0,0,0,0,26031,0,0,5836,3464,723,0,0,106,296,0,16,0,0,0,0,0,0,0,3847,664,0,0,0,23082,535,0,0,0,0,0,3568,338,0,0,40,37,0,0,16,0,0,0,231,0,0,0,1443,0,0,0,0,0,19788,644,0,0,0,0,0,0,17,39,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,134,0,2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french fries,1132307,0,0,3016986,0,104167,0,0,19177,1077,13614,0,80,0,1992,0,0,679,0,0,0,0,0,0,10627,4066,0,78,0,7823,21241,192,68,0,132,0,1643,33351,0,0,2027,965,0,0,30797,0,12152,87,102159,1,30,0,6913,0,332,0,10149,0,200145,346890,0,0,0,0,118,320,1437,168,0,0,43956,0,0,11667,0,0,0,0,0,0,3452,0,8565,0,991697,133,0,851,1372,680,0,0,0,0,0,1304,6,0,0,0,0,0,0,0
chocolate,404271,0,0,400,10730,28197,0,0,28306,0,195585,0,67,22,2075,0,0,159,0,0,0,0,0,0,5,0,0,0,0,0,90727,20091,2335,0,0,0,476,21,0,0,0,0,0,0,507,0,44138,0,1896,0,0,0,57445,0,0,0,0,0,4069,0,0,0,0,0,0,0,0,0,0,0,3181,0,0,364,0,0,0,0,0,0,1,0,21,0,2109,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biscuit,2297577,0,0,106048,59,3400794,0,0,112334,251,446901,0,343,3,1430,18,0,1621,0,0,0,77,0,0,9648,1413,0,14,0,66385,57179,3484,7088,0,287,0,8047,16917,0,0,32090,322,0,0,36473,0,51858,156,216203,2,14287,0,65202,0,0,0,87,14,743087,131120,0,495,0,0,2154,4480,12206,22274,0,0,40678,0,0,6166,0,0,0,0,0,0,706,0,16863,0,317555,0,0,676,171,666,0,0,0,0,54,0,58,0,0,0,0,0,0,0
popcorn,95136,0,0,17,0,20971,0,0,34677,0,4410,0,0,0,0,0,0,1354,0,0,0,15,0,0,1159,0,0,0,0,951,1978,2067,1879,0,14,0,1061,85,0,0,0,2193,0,0,17,0,407,96,24223,0,0,0,421,0,0,0,624,0,1532,99522,0,0,0,0,3286,9,133298,0,0,0,2136,0,2,106,0,0,0,0,0,0,9,0,0,0,599,0,0,1466,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0
pudding,33880,0,0,0,0,0,0,0,93021,0,0,0,152,95,45112,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,146,125,10,11,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice cream,4301392,0,0,55852,15,65280,0,0,8111697,5567,237842,0,77514,2635,58625,628,0,5,0,0,0,60,0,0,165307,6182,0,0,0,12254,102167,7857,11616,3,1781,0,3792,97878,0,0,6138,1486,148,0,53759,1,49019,2829,92308,0,0,0,187992,0,1644,0,51,6216,278819,70607,0,0,0,0,626,2326,113594,190,0,0,490934,0,2323,51112,0,0,0,0,0,0,5771,0,42235,0,62856,0,0,32072,2295,3614,0,0,0,213,4,597,0,0,0,0,0,0,0,0
cheese butter,1369703,0,0,19787,0,56929,0,0,752169,56009,115892,0,7413,43,89579,96,0,0,0,0,0,54,0,0,136808,4116,0,0,0,32911,13098,876,900,3,5322,0,40883,52707,0,0,29305,1836,0,0,120166,0,36924,396,245035,23,0,0,107086,0,2329,0,6326,0,401390,169994,0,4696,0,0,4798,14483,38845,1431,0,0,379864,0,1337,15302,0,0,0,0,0,0,16012,0,24121,0,71157,1427,0,40823,277,1912,0,0,0,3538,10,706,25,0,0,0,0,0,0,0
